Bronx Rolling Sales File.  All Sales From May 2016 - April 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 5/1/2017  Co-op Sales Files as of 5/5/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,5, ,B9, 509 EAST 183 STREET                       ,            ,10458,2,                         -  ,2,"1,420","2,805",1901, 1 , B9 ," $290,000 ",12/2/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,5, ,B9, 509 EAST 183 STREET                       ,            ,10458,2,                         -  ,2,"1,420","2,805",1901, 1 , B9 ," $165,000 ",9/2/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,5, ,B9, 509 EAST 183 STREET                       ,            ,10458,2,                         -  ,2,"1,420","2,805",1901, 1 , B9 ,                        -   ,9/2/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,6, ,B9, 2304 BASSFORD AVE                         ,            ,10458,2,                         -  ,2,"2,129","2,960",1901, 1 , B9 ,                        -   ,6/30/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3031,145, ,C0, 412 EAST 187 STREET                       ,            ,10458,3,                         -  ,3,"1,784","2,302",2004, 1 , C0 ,                        -   ,12/29/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3031,145, ,C0, 412 E 187TH STREET                        ,            ,10458,3,                         -  ,3,"1,784","2,302",2004, 1 , C0 ," $545,000 ",10/14/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3037,37, ,C0, 4418 PARK AVENUE                          ,            ,10457,3,                         -  ,3,"3,525","2,160",1899, 1 , C0 ," $299,000 ",3/21/2017
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3038,124, ,C0, 466 EAST 183RD ST                         ,            ,10458,3,                         -  ,3,"1,204","2,889",2004, 1 , C0 ,                        -   ,8/25/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3038,124, ,C0, 466 EAST 183 STREET                       ,            ,10458,3,                         -  ,3,"1,204","2,889",2004, 1 , C0 ," $390,000 ",6/30/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3039,13, ,C0, 456 EAST 185 STREET                       ,            ,10458,3,                         -  ,3,"1,650","1,344",1910, 1 , C0 ," $321,065 ",3/28/2017
